Station: Sion-Aéroport-A9,,,,,,,,
Rural, motorway,,,,,,,
Hourly means, PREC: Hourly sums,,,,,,,
MEZ/CET,,,,,,,,
Source: NABEL/MeteoSchweiz,,,,,,,,
Date/time,O3 [ug/m3],NO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2019 00:00,1.3,39.1,27.3,,83.8,-0.3,0,0
01.01.2019 01:00,1.5,35.8,37.4,23.4,76.8,-1,0,0
01.01.2019 02:00,1.3,37.4,53.1,33.3,95.2,-1.1,0,0
01.01.2019 03:00,1.2,37.3,53.4,33.2,99.8,-1.2,0,0
01.01.2019 04:00,1.1,39.3,54.5,34.1,117.2,-1.5,0,0
01.01.2019 05:00,1,34.5,50.3,31.4,91.4,-2.1,0,0
01.01.2019 06:00,0.7,30.5,45.4,28.1,69.6,-1.3,0,0
01.01.2019 07:00,0.7,30.1,38,23.8,56.8,-0.9,0,0
01.01.2019 08:00,0.6,31.6,34.6,21.6,65.5,-1.1,0,0
01.01.2019 09:00,1.6,35.1,33.5,20.8,80.8,-2,0,10.7
01.01.2019 10:00,3.3,37.2,32.6,20.1,109.7,-1.9,0,41.8
01.01.2019 11:00,6.4,37,31.4,19.3,99.9,-1.1,0,44.3
01.01.2019 12:00,10.5,37.7,30.7,18.8,99.4,0.7,0,277.5
01.01.2019 13:00,21.1,27,31.9,15.9,63.6,2.8,0,357.7
01.01.2019 14:00,29.8,20.9,38.9,14.6,43.9,3.9,0,333.7
01.01.2019 15:00,33.2,21.9,34.2,13.5,42.5,4.9,0,259.2
01.01.2019 16:00,26.5,32.4,38.9,13.5,61.9,4.7,0,47.8
01.01.2019 17:00,23.4,32,25.6,12.2,57.1,4,0,14.3
01.01.2019 18:00,8.8,48.9,22.9,13.5,96.2,2.4,0,0
01.01.2019 19:00,1.7,62.9,25.5,14.8,164.4,1.1,0,0
01.01.2019 20:00,0.9,59.2,23,13.7,155,1.1,0,0
01.01.2019 21:00,0.9,48.9,23.3,14.1,111.6,1.6,0,0
01.01.2019 22:00,1,45.6,23.2,14.1,92.6,2.2,0,0
01.01.2019 23:00,1.2,44.2,22.9,14.3,78.8,2.6,0,0
02.01.2019 00:00,10.5,30,22.8,14.4,39.1,3.4,0,0
02.01.2019 01:00,40.6,8.3,14.2,10.1,9.3,4.1,0,0
02.01.2019 02:00,44.5,6.7,10.6,7.4,7.7,4.4,0,0
02.01.2019 03:00,45.9,6.4,8.9,6.3,7.2,4.1,0,0
02.01.2019 04:00,36.5,11.6,8.7,6.1,12.9,2.5,0,0
02.01.2019 05:00,17.9,27.2,9.7,6.7,34.2,1.1,0,0
02.01.2019 06:00,13.5,29.8,8.9,6.2,40.3,0.1,0,0
02.01.2019 07:00,5.2,41.6,8.8,5.8,76,-0.4,0,0
02.01.2019 08:00,1.4,51.9,9.5,6,115.6,-0.8,0,0
02.01.2019 09:00,1.5,60,9.6,5.7,174.3,-1.2,0,11
02.01.2019 10:00,4.6,68,10.8,5.8,218.5,-0.5,0,38.5
02.01.2019 11:00,5.7,69,9.6,5.8,210.4,1.1,0,42.2
02.01.2019 12:00,33.1,44.8,11.9,4.5,88.3,4.3,0,286.5
02.01.2019 13:00,49.2,27.4,28.6,5.5,50.7,6.3,0,368.2
02.01.2019 14:00,59.6,20,21.5,4,33.7,6,0,347.3
02.01.2019 15:00,64.1,16.6,12.7,3.1,26.6,5.5,0,274
02.01.2019 16:00,57.4,25.9,14.1,3.3,39.4,4.6,0,48.8
02.01.2019 17:00,53.3,36.1,21.9,4,55.6,4.7,0,27.7
02.01.2019 18:00,22.3,80.2,41,7.1,143.8,2.4,0,0
02.01.2019 19:00,9,88.8,29.4,6.4,153.3,1.4,0,0
02.01.2019 20:00,30.2,50.8,21.2,5.7,72.4,1.4,0,0
02.01.2019 21:00,39.4,37.1,13.4,4.7,48.3,1.1,0,0
02.01.2019 22:00,21.6,53.4,18.2,5.9,76.4,-0.2,0,0
02.01.2019 23:00,16,51.6,15.1,6.1,74.3,-1.5,0,0
03.01.2019 00:00,6.1,57.4,13.7,5.8,80.2,-2.5,0,0
03.01.2019 01:00,8.1,50.3,13.1,6.6,67.3,-3,0,0
03.01.2019 02:00,14.8,35.8,10.3,6.3,40.2,-3.5,0,0
03.01.2019 03:00,21.5,26.2,8.4,5.2,29.3,-3.6,0,0
03.01.2019 04:00,11.1,38.3,7.8,4.3,44.5,-3.9,0,0
03.01.2019 05:00,18,33.8,6.6,3.1,43,-4.4,0,0
03.01.2019 06:00,13.4,44.4,9.8,3.4,64.2,-4,0,0
03.01.2019 07:00,3.3,60.9,11.3,3.9,112.7,-4.4,0,0
03.01.2019 08:00,0.9,81.5,22.8,5.5,251.3,-4.8,0,0
03.01.2019 09:00,1.5,104.2,16.7,5.4,383,-4.7,0,8.5
03.01.2019 10:00,3.5,84.6,24.6,6.5,273.2,-4.3,0,27.3
03.01.2019 11:00,4.3,91.5,24.5,7,327.6,-4.1,0,40
03.01.2019 12:00,7.7,86.7,27.2,8.6,296.9,-1.9,0,287.5
03.01.2019 13:00,39.4,32.6,44.4,10.6,65,0.7,0,366.5
03.01.2019 14:00,48.3,31.4,39.7,8.5,60,1.5,0,346
03.01.2019 15:00,46.3,38,40.5,8.1,75.4,2,0,272
03.01.2019 16:00,35.4,49.1,40.9,9.4,97.2,1.2,0,48.5
03.01.2019 17:00,11.5,80.2,52.9,11.8,174.7,0.2,0,13.8
03.01.2019 18:00,4.6,91,80,16.6,230.9,-0.3,0,0
03.01.2019 19:00,3.2,79.1,42.4,10.4,157.1,-0.8,0,0
03.01.2019 20:00,2.6,79.5,35.4,10.3,165.9,-1.8,0,0
03.01.2019 21:00,2.9,68.1,28.6,11.2,117.2,-2.1,0,0
03.01.2019 22:00,2.2,64.9,24.1,10.6,126.8,-3.1,0,0
03.01.2019 23:00,1.8,63.9,21.9,10.4,138.6,-3.9,0,0
04.01.2019 00:00,2.8,54.8,23.7,13.5,80.4,-3.5,0,0
04.01.2019 01:00,3.1,51.9,22,13.4,76.7,-4.3,0,0
04.01.2019 02:00,2.7,46.6,18,11.1,62.1,-4.8,0,0
04.01.2019 03:00,3.4,45.2,18.1,10.6,56.7,-4.8,0,0
04.01.2019 04:00,2,44.4,16.6,10.3,57.7,-5.5,0,0
04.01.2019 05:00,1.5,43.9,15.9,9.7,70.6,-5.6,0,0
04.01.2019 06:00,3.1,42.6,15.3,9.5,74,-5.3,0,0
04.01.2019 07:00,0.9,51.8,16.8,9.8,117.1,-5.7,0,0
04.01.2019 08:00,1,57.8,17.7,9.9,153.1,-5.7,0,0
04.01.2019 09:00,1.6,67.5,19.2,10.1,228.8,-5.8,0,6.5
